no,cafename,area,location,time,dayoff,image,dessert,pet,nokids,takeout,delivery,meeting,franchise,parking,price,xlocation,ylocation,score,count,average
268,연두커피점,상봉동,경남 진주시 창렬로 106,,,/public/cafe/logo.png,1,0,0,0,0,0,0,0,10000,35.19750917,128.0689628,0,0,0
269,오후당,상봉동,경남 진주시 북장대로74번길 6 다정빌 상가 1층,월~토 12:00,일,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.19666121,128.0734268,0,0,0
270,이디야커피 진주보건대점,상봉동,경남 진주시 창렬로 111,월~일 10:00~21:30,,/public/cafe/logo.png,0,0,0,0,0,0,1,0,3200,35.19802864,128.0694065,0,0,0
271,천씨씨커피 보건대점,상봉동,경남 진주시 창렬로98번길 1,월~일 8:00~22:00,,/public/cafe/상봉동/천씨씨커피 보건대점.jpg,1,0,0,0,1,0,1,0,2400,35.19721263,128.0686989,0,0,0
272,카페051 진주보건대점,상봉동,경남 진주시 창렬로 100,월~일 9:00~22:00,,/public/cafe/상봉동/카페051 진주보건대점.jpg,0,0,0,0,0,0,1,1,1500,35.1973263,128.0687583,0,0,0
273,카페여기서행복할것,상봉동,경남 진주시 비봉로 94,월~토 12:10~19:00,,/public/cafe/상봉동/카페여기서행복할것.jpg,1,0,0,0,0,1,0,1,4500,35.19896555,128.0791677,0,0,0
274,카페집,상봉동,경남 진주시 진주성로 196 1층,,,/public/cafe/상봉동/카페집.jpg,1,0,0,0,0,0,0,0,2500,35.20574666,128.0725337,0,0,0
275,커피야,상봉동,경남 진주시 창렬로 174-1,,,/public/cafe/logo.png,0,0,0,1,0,0,0,0,10000,35.19946315,128.0761206,0,0,0
276,커피와꽃,상봉동,경남 진주시 진주성로 106,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.19886573,128.0757085,0,0,0
277,커피콩빵,상봉동,경남 진주시 창렬로 174,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.19943596,128.0760152,0,0,0
278,큐브커리 로스터스,상봉동,경남 진주시 의병로 57,월~토 10:00~20:00,일,/public/cafe/상봉동/큐브커리 로스터스.jpg,1,0,0,0,0,0,0,1,4500,35.19813895,128.0679164,0,0,0
279,트루바이 진주보건대점,상봉동,경남 진주시 창렬로 95-1 트루바이 카페,월~일 10:00~22:00,,/public/cafe/상봉동/트루바이 진주보건대점.jpg,1,0,0,0,0,0,0,0,3000,35.19688668,128.0683153,0,0,0
280,파리바게트 진주상봉점,상봉동,경남 진주시 창렬로 110,,,/public/cafe/logo.png,0,0,0,0,0,0,1,0,3700,35.19773396,128.0693496,0,0,0
281,포로롱,상봉동,경남 진주시 창렬로 87,,월 / 일,/public/cafe/상봉동/포로롱.jpg,1,0,0,0,0,0,0,0,2500,35.19615624,128.0684511,0,0,0
282,더벤티 진주시청점,상평동,경남 진주시 도동천로 48 상가동 105호(진주센트럴자이),월~일 8:30~22:00,,/public/cafe/상평동/더벤티 진주시청점.jpg,0,0,0,1,0,0,0,0,1800,35.1777854,128.1056328,0,0,0
283,더웨이닝커피,상평동,경남 진주시 대신로 120 한빛장례식장 1층,월~일 10:00~21:00,,/public/cafe/상평동/더웨이닝커피.jpg,0,0,0,0,0,0,0,1,4200,35.1710386,128.1185347,0,0,0
284,데이원커피,상평동,경남 진주시 공단로 29-1,24시간 영업,,/public/cafe/상평동/데이원커피.jpg,1,0,0,0,0,0,0,0,1400,35.1751887,128.1029235,0,0,0
285,솔밭거닐다,상평동,경남 진주시 솔밭로75번길 22,월~금 11:00~17:00,토/일,/public/cafe/상평동/솔밭거닐다.jpg,1,0,0,0,0,0,0,1,3000,35.1757637,128.1049198,0,0,0
286,오오비,상평동,경남 진주시 대신로195번길 17-1 오오비,월~토 11:00~22:00,일,/public/cafe/상평동/오오비.jpg,1,0,0,0,1,1,0,1,4500,35.1776451,128.1159126,0,0,0
287,익쌀,상평동,경남 진주시 돗골로105번길 18,화~토 11:00~20:00,월/일,/public/cafe/상평동/익쌀.jpg,1,0,0,0,1,0,0,0,3000,35.1776051,128.1104832,0,0,0
288,커피웨이커,상평동,경남 진주시 솔밭로91번길 21 _레드 벽돌집,화~일 9:00~18:00,월,/public/cafe/상평동/커피웨이커.jpg,1,0,0,0,1,0,0,1,5500,35.1771434,128.1048064,0,0,0
289,컵오브커피 진주시청점,상평동,경남 진주시 솔밭로 96-1 1층,월~일 9:00~22:00,,/public/cafe/상평동/컵오브커피 진주시청점.jpg,0,0,0,0,1,0,0,0,2000,35.1777453,128.1072093,0,0,0
